"","form","error","I","T","A","sigma","Rsq","adj.Rsq","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC"
"1","additive","norm",FALSE,FALSE,FALSE,200.277077268283,0,0.000237629348429528,69690.0241826315,69677.6702713143,68499.8802203195,0,0,0
"2","additive","norm",FALSE,FALSE,TRUE,173.077602613057,0.14697700219048,0.159750588853865,55238.428856073,55222.2732789826,54833.7953965002,0,0,0
"3","additive","norm",FALSE,TRUE,FALSE,169.528285053902,0.132461250339202,0.147612722395778,54731.8015152776,54718.9911680139,54543.6961062827,0,0,0
"4","additive","norm",FALSE,TRUE,TRUE,149.337296174662,0.142583957358159,0.174537884565914,54152.631952776,54129.7144398766,54792.8976523538,0,0,0
"5","additive","norm",TRUE,FALSE,FALSE,174.594450490287,0.144413748879261,0.145311707834359,53363.5532155225,53349.9682323563,52266.5110523098,0,0,0
"6","additive","norm",TRUE,FALSE,TRUE,147.79744737608,0.138260906660894,0.1487481213631,52581.5821206275,52566.0104439133,52304.4085139575,0,0,0
"7","additive","norm",TRUE,TRUE,FALSE,131.034231937961,0.110467673405073,0.121570207803655,51130.6140816444,51118.7090265138,51065.7673299643,0,0,0
"8","additive","norm",TRUE,TRUE,TRUE,125.513954603226,0.105529308500734,0.12608478188472,51038.2137326264,51015.4494690783,51803.2433940027,0,0,0
"9","multiplicative","lnorm",FALSE,FALSE,FALSE,0.189962790461269,0,0.000237629348429528,369269.652082479,369260.670906304,368328.716487137,0,0,0
"10","multiplicative","lnorm",FALSE,FALSE,TRUE,0.161181174897816,0.133324200308514,0.144192703716361,4712.20976501546,4698.27161919834,4377.01638133642,8.94327468974528e-42,3.06376417112388e-40,1.08454094146384e-50
"11","multiplicative","lnorm",FALSE,TRUE,FALSE,0.158152577915042,0.125827311828316,0.141089296937389,3776.65265034781,3763.58223934035,3731.1321862167,9.27504766967607e-23,2.16958241527813e-21,0.036083278598244
"12","multiplicative","lnorm",FALSE,TRUE,TRUE,0.136124375682232,0.136066497216349,0.167435496058594,3385.31950184544,3387.84368037787,4227.14366046583,0.00106090279458256,6.67266209765711e-24,1.41047431856634e-61
"13","multiplicative","lnorm",TRUE,FALSE,FALSE,0.180966047603802,0.132261250198246,0.133083409762085,3358.78370905431,3346.72496958669,2429.56203327292,0.156568460729439,0.186702132397384,0.500007007696215
"14","multiplicative","lnorm",TRUE,FALSE,TRUE,0.150687440930265,0.133095527128755,0.142651108951652,2744.59661338744,2733.93066706092,2561.11009798257,0.00916360467499538,0.0104036717721483,0.096777148999973
"15","multiplicative","lnorm",TRUE,TRUE,FALSE,0.130413768854044,0.111631361838725,0.123572544323433,219.731532006411,197.518127610981,872.865792364029,0.435624672550257,0.372646283442918,0.499464637952806
"16","multiplicative","lnorm",TRUE,TRUE,TRUE,0.123811012860099,0.104227547456328,0.124770209510578,156.585621626088,304.983136049102,1779.58411813996,0.421030673847957,0.337111063878209,1.97205633532336e-52
